PI_page,docs,name,on_github
http://pypi.python.org/pypi/Flask-Raptor,http://pythonhosted.org/Flask-Raptor/,Flask-Raptor,http://github.com/dplepage/flask-raptor/
http://pypi.python.org/pypi/Flask-Rest-JSONAPI,http://flask-rest-jsonapi.readthedocs.io/en/latest/,Flask-Rest-JSONAPI,http://github.com/miLibris/flask-rest-jsonapi/
http://pypi.python.org/pypi/Flask-RESTful,https://flask-restful.readthedocs.org/,Flask-RESTful,http://github.com/flask-restful/flask-restful/
http://pypi.python.org/pypi/Flask-Restless,http://readthedocs.org/docs/flask-restless/en/latest/,Flask-Restless,http://github.com/jfinkels/flask-restless/
http://pypi.python.org/pypi/Flask-Script,http://pythonhosted.org/Flask-Script/,Flask-Script,http://github.com/techniq/flask-script/
http://pypi.python.org/pypi/Flask-SeaSurf,http://pythonhosted.org/Flask-SeaSurf/,Flask-SeaSurf,http://github.com/maxcountryman/flask-seasurf/
http://pypi.python.org/pypi/Flask-Security,https://pythonhosted.org/Flask-Security/,Flask-Security,http://github.com/mattupstate/flask-security/
http://pypi.python.org/pypi/Flask-Shelve,http://pythonhosted.org/Flask-Shelve/,Flask-Shelve,http://github.com/jamesls/flask-shelve/
http://pypi.python.org/pypi/Flask-Sijax,http://pythonhosted.org/Flask-Sijax/,Flask-Sijax,http://github.com/spantaleev/flask-sijax/
http://pypi.python.org/pypi/Flask-Snow,http://flask-snow.readthedocs.io/en/latest/,Flask-Snow,http://github.com/rbw0/flask-snow/
http://pypi.python.org/pypi/Flask-SQLAlchemy,http://flask-sqlalchemy.pocoo.org/,Flask-SQLAlchemy,http://github.com/mitsuhiko/flask-sqlalchemy/
http://pypi.python.org/pypi/Flask-SSE,https://flask-sse.readthedocs.org/en/latest/,Flask-SSE,http://github.com/singingwolfboy/flask-sse/
http://pypi.python.org/pypi/Flask-Static-Compress,https://github.com/alanhamlett/flask-static-compress,Flask-Static-Compress,http://github.com/alanhamlett/flask-static-compress/
http://pypi.python.org/pypi/Flask-Stormpath,http://flask-stormpath.readthedocs.org/en/latest/,Flask-Stormpath,http://github.com/stormpath/stormpath-flask/
http://pypi.python.org/pypi/Flask-Testing,http://pythonhosted.org/Flask-Testing/,Flask-Testing,http://github.com/jarus/flask-testing/
http://pypi.python.org/pypi/Flask-Themes,http://pythonhosted.org/Flask-Themes/,Flask-Themes,http://bitbucket.org/leafstorm/flask-themes/
http://pypi.python.org/pypi/Flask-Uploads,https://flask-uploads.readthedocs.org/en/latest/,Flask-Uploads,http://github.com/maxcountryman/flask-uploads/
http://pypi.python.org/pypi/Flask-User,http://flask-user.readthedocs.io/,Flask-User,http://github.com/lingthio/flask-user/
http://pypi.python.org/pypi/Flask-Via,http://flask-via.soon.build,Flask-Via,http://github.com/thisissoon/Flask-Via/
http://pypi.python.org/pypi/Flask-WeasyPrint,http://pythonhosted.org/Flask-WeasyPrint/,Flask-WeasyPrint,http://github.com/SimonSapin/Flask-WeasyPrint/
http://pypi.python.org/pypi/Flask-WebTest,http://flask-webtest.readthedocs.org/,Flask-WebTest,http://github.com/aromanovich/flask-webtest/
http://pypi.python.org/pypi/Flask-WTF,http://pythonhosted.org/Flask-WTF/,Flask-WTF,http://github.com/ajford/flask-wtf/
http://pypi.python.org/pypi/Flask-XML-RPC,http://pythonhosted.org/Flask-XML-RPC/,Flask-XML-RPC,http://bitbucket.org/leafstorm/flask-xml-rpc/
http://pypi.python.org/pypi/Flask-Zen,http://pythonhosted.org/Flask-Zen/,Flask-Zen,http://github.com/coderanger/flask-zen/
http://pypi.python.org/pypi/Flask-ZODB,http://pythonhosted.org/Flask-ZODB/,Flask-ZODB,http://github.com/dag/flask-zodb/
http://pypi.python.org/pypi/Frozen-Flask,http://pythonhosted.org/Frozen-Flask/,Frozen-Flask,http://github.com/SimonSapin/Frozen-Flask/
